id,barcode,name,spec,unit,price,brand,supplier,made_in,discount,inventory,expiration_data,product_location
1,6901121300298,500g万丽厕精,500g,瓶,4.5,万丽,广州市浪奇实业股份有限公司,广州,1.0,28,2027-01-19,C
2,6901294171206,六神清凉爽肤沐浴露200ml,200ml,瓶,9.9,六神,上海家化联合股份有限公司,上海,1.0,42,2027-08-07,C
3,6901294171213,六神清凉爽肤沐浴露450ml,450ml,瓶,17.5,六神,上海家化联合股份有限公司,上海,0.9,29,2027-04-21,D
4,6901294171381,六神百合除菌香皂,125克,块,4.3,六神,上海家化联合股份有限公司,上海,1.0,31,2027-03-03,C
5,6901294171794,六神除菌香皂（金盏菊）125g,125g,块,4.2,六神,上海家化联合股份有限公司,上海,0.9,26,2027-07-10,B
6,6901294172159,六神冰凉超爽沐浴露200ml,200ml,瓶,10.5,六神,上海家化联合股份有限公司,上海,0.9,33,2027-08-05,H
7,6901294177017,六神 清凉舒爽 祛痱止痒 花露水195ml,195ml,瓶,15.0,六神,上海家化联合股份有限公司,上海,1.0,42,2027-04-07,E
8,6901294177024,六神 清凉舒爽 祛痱止痒 花露水95ml,95ml,瓶,10.0,六神,上海家化联合股份有限公司,上海,1.0,28,2027-08-06,H
9,6901333290660,南方黑芝麻糊,360克,袋,9.9,南方黑芝麻,南方黑芝麻集团股份有限公司,广西,1.0,23,2026-10-03,C
10,6901377002007,莲花味精,200克,包,3.6,莲花,莲花健康产业集团股份有限公司,郑州,0.8,38,2027-05-08,E
11,6901377004001,莲花味精,400克,包,7.2,莲花,莲花健康产业集团股份有限公司,郑州,1.0,50,2027-05-16,E
12,6901668053893,奧利奧迷你原味小餅乾,55G,桶,5.5,奧利奧,亿滋食品企业管理(上海)有限公司,江苏,1.0,29,2027-04-11,C
13,6901668053916,奧利奧迷你巧克力餅乾,55G,桶,7.0,奧利奧,亿滋食品企业管理(上海)有限公司,江苏,1.0,34,2027-01-22,A
14,6901668054012,亿滋卡夫/奥利奥夹心饼干/缤纷双果甜橙味+芒果味106g/盒食品零食 多种口味任选 儿童宝宝休闲零食 办公室小吃,106g,盒,23.0,奥利奥,亿滋食品企业管理(上海)有限公司,江苏,1.0,27,2026-10-26,E
15,6901668054029,奥利奥缤纷双果味夹心饼干 树草莓+蓝莓味106g 盒装,106g/106g,包,6.5,奥利奥,亿滋食品企业管理(上海)有限公司,江苏,1.0,20,2026-12-08,D
16,6901668054050,奥利奥130G夹心原味,130g,包,20.0,奥利奥,亿滋食品企业管理(上海)有限公司,江苏,1.0,32,2027-04-06,E
17,6924097901160,黑金刚大蘑头小蘑菇松脆小饼干(普通饼干~香浓巧克力)33298_45克,45g,盒,3.6,黑金刚,天津市黑金刚食品有限公司,天津,1.0,38,2027-09-07,D
18,6924254673503,糖水杨梅罐头,700g,瓶,13.5,欢乐家,湛江市欢乐家食品有限公司,广东,0.8,38,2026-10-19,F
19,6924254673572,糖水桃罐头（久宝桃）,700g,瓶,8.2,欢乐家,湛江市欢乐家食品有限公司,广东,1.0,47,2027-04-18,C
20,6924639900965,番茄调味酱,850g/罐,桶,98.18,欢悦,东莞市益康食品有限公司,广州,0.9,44,2027-03-19,F
21,6925208622028,华萍 透明长方形居家户外旅行针线套装 便携缝纫工具202针线包,长方形,盒,11.3,华萍,台州市黄岩华萍生活用品有限公司,黄岩,1.0,49,2026-12-13,A
22,6925208625012,华萍针线盒,方形,个,3.0,华萍,台州市黄岩华萍生活用品有限公司,黄岩,1.0,33,2026-12-22,D
23,6925303713386,小当家脆脆面 香葱口味,35g,包,0.5,小当家,统一企业(中国)投资有限公司,郑州,1.0,42,2026-09-26,F
24,6920761200478,加加老抽王酱油,500ml,瓶,5.6,加加,加加食品集团股份有限公司,郑州,1.0,25,2027-02-13,B
25,6920761200485,加加香醋,800毫升,桶,7.8,加加,加加食品集团股份有限公司,郑州,1.0,47,2027-07-25,C
26,6920761200638,加加黄豆酱油,800ml,毫升,7.9,加加,加加食品集团股份有限公司,郑州,1.0,36,2026-09-28,A
27,6920761200669,100g加加鸡精,100g,包,4.5,加加,加加食品集团股份有限公司,长沙,1.0,39,2027-01-16,G
28,6920761200676,加加鸡精鸡精调味料,200g,包,7.5,加加,加加食品集团股份有限公司,长沙,1.0,20,2027-03-16,D
29,6920761200706,加加面条鲜生抽酱油,500ml,毫升,8.9,加加,加加食品集团股份有限公司,郑州,0.9,34,2027-08-28,A
30,6920761200805,加加新一代特制酱油500ml,500ml,瓶,8.8,加加,加加食品集团股份有限公司,郑州,1.0,37,2027-08-06,G
31,6920761202090,800加加陈醋,800ml,桶,7.8,加加,加加食品集团股份有限公司,郑州,1.0,27,2026-12-23,C
32,6920761202120,加加糯米白醋,500ml,瓶,4.8,加加,加加食品集团股份有限公司,郑州,1.0,46,2026-09-03,E
33,6920761202175,500ml珍鲜老抽,500ml,瓶,6.6,加加,加加食品集团股份有限公司,郑州,0.9,21,2027-03-25,C
34,6920761202205,800ml红烧老抽王,800ml,壶,7.5,加加,加加食品集团股份有限公司,郑州,1.0,33,2027-01-16,C
35,6920761215687,加加l红烧酱油,500ml,瓶,4.8,加加,加加食品集团股份有限公司,郑州,1.0,30,2026-09-15,C
36,6920761221084,加加味精,200g,包,4.5,加加,加加食品集团股份有限公司,长沙,1.0,21,2026-11-08,G
37,6920761221107,加加味精,400g,包,9.6,加加,加加食品集团股份有限公司,湖南长沙,1.0,46,2027-05-17,C
38,6920761221114,加加味精,100g,袋,2.9,加加,加加食品集团股份有限公司,长沙,1.0,30,2027-05-19,D
39,6938315098983,好吉利迷你型手帕纸,210mm*210mm,包,4.3,好吉利,福建恒利纸业有限公司,福建,1.0,40,2027-05-06,B
40,6938636620016,草原阿妈火锅底料 200g 辣汤,200克,包,7.8,草原阿妈,内蒙古草原阿妈食品有限公司,包头,1.0,50,2027-05-06,G
41,6938636620023,草原阿妈火锅底料微辣香汤200克,200克,包,9.0,草原阿妈,内蒙古草原阿妈食品有限公司,包头,1.0,44,2027-01-31,H
42,6938636620030,草原阿妈清汤火锅底料200g,200g/200g,袋,7.8,草原阿妈,内蒙古草原阿妈食品有限公司,包头,1.0,21,2027-09-14,B
43,6938636620689,草原阿妈枸杞香汤,180克,袋,10.4,草原阿妈,内蒙古草原阿妈食品有限公司,包头,1.0,48,2026-10-30,E
44,6938636620696,草原阿妈枸杞清汤,180克,袋,7.9,草原阿妈,内蒙古草原阿妈食品有限公司,包头,0.9,37,2027-02-07,G
45,6938902618082,拉芳营养柔顺洗发露（滋润修护）,200ml,瓶,10.9,拉芳,拉芳家化股份有限公司,广东,1.0,38,2027-09-04,C
46,6938902618099,拉芳营养柔顺洗发露（水润去屑）,400ml,瓶,29.8,拉芳,拉芳家化股份有限公司,广东,1.0,41,2026-10-20,G
47,6938902618112,拉芳营养柔顺洗发露（焗油垂顺）,400ml,瓶,25.0,拉芳,拉芳家化股份有限公司,广东,1.0,41,2026-10-19,E
48,6938902618129,拉芳营养柔顺洗发露（滋润修护）,400ml,瓶,22.8,拉芳,拉芳家化股份有限公司,广东,1.0,33,2026-10-10,C
49,6938902618228,活性营养护发素（焗油纯养）,500ml,瓶,8.5,拉芳,拉芳家化股份有限公司,广州,1.0,36,2027-06-26,A
50,6938902618563,140g拉芳啫喱水(动感亮泽),140ml,瓶,7.9,拉芳,拉芳家化股份有限公司,广州,1.0,30,2027-09-06,A
51,6938902619218,拉芳营养柔顺洗发露（焗油去屑）,400ml,瓶,28.2,拉芳,拉芳家化股份有限公司,广东,1.0,30,2027-03-29,C
52,6933266600049,百事可乐可乐型汽水,2.0L/瓶,瓶,6.5,Pepsi,济南百事可乐饮料有限公司,山东,1.0,27,2027-02-02,A
53,6933266600230,美年达橙味汽水,2.0L/瓶,瓶,7.7,美年达,济南百事可乐饮料有限公司,青岛,1.0,36,2027-05-04,D
54,6933266600384,美年达青苹果味汽水 2.0L,2L,瓶,5.8,美年达果味型汽水,济南百事可乐饮料有限公司,青岛,1.0,39,2026-12-05,G
55,6933453800078,“红99”牌重庆火锅浓缩底料400g,400g,袋,8.5,“红99”,重庆红九九食品有限公司,四川,1.0,29,2026-12-13,C
56,6911988014887,360g法式软面包香橙味,包,包,11.0,福建省达利集团有限公司,达利食品集团有限公司,福建,0.8,33,2027-09-14,D
57,6912011033882,舒爽丝薄棉柔日用20片*24,1*20*24,包,6.8,舒爽,福建南安恒利纸品有限公司,福建,1.0,31,2026-10-19,G
58,6912011033936,舒爽亲肤SC8220,1*20*24,包,7.0,舒爽,福建南安恒利纸品有限公司,福建,1.0,25,2027-05-25,A
59,6912011600107,好舒爽(恒利)加长卫生护垫(加长~非透气)1033_20片,1*20*48,包,3.5,好舒爽,福建南安恒利纸品有限公司,福建,1.0,39,2026-09-22,H
60,6912782471098,河套老窖42度珍品,500ML,瓶,0.0,内蒙古河套酒业集团股份有限公司,内蒙古河套酒业集团股份有限公司,内蒙古,1.0,20,2026-12-13,A
61,6913393108236,400ml霸王黑芝麻黑亮洗发露（流通2014版）,400ml,瓶,29.8,霸王,霸王(广州)有限公司,广东,1.0,34,2027-09-11,E
62,6913393108243,400ml霸王首乌乌发洗发露（流通2014版）,400ml,瓶,26.5,霸王,霸王(广州)有限公司,广东,0.9,41,2027-03-27,G
63,6920761221985,500ml鲜味鲜生抽,500ml,瓶,7.8,加加,加加食品集团股份有限公司,郑州,1.0,26,2026-12-29,G
64,6920780132309,番茄沙司,250gX20,瓶,3.0,唐三记,深圳市好味佳食品有限公司,深圳,1.0,21,2027-02-13,C
65,6920790966628,孜然粉,35g,包,5.3,肖家香料,洛阳市肖氏香料有限公司,洛阳,1.0,34,2027-01-28,E
66,6920790966697,肖家香料 包子饺子料35g,35克,包,3.0,肖家香料,洛阳市肖氏香料有限公司,洛阳,0.9,25,2027-04-18,A
67,6920790980303,大盘鸡料,35克,袋,3.0,肖家香料,洛阳市肖氏香料有限公司,.洛阳,1.0,34,2027-04-01,D
68,6920790980310,肖家香料 大红花椒25g,25克,包,3.5,肖家香料,洛阳市肖氏香料有限公司,洛阳,1.0,21,2027-05-30,C
69,6920790980327,大红八角,30克,包,3.0,肖家香料,洛阳市肖氏香料有限公司,洛阳,1.0,22,2026-10-24,F
70,6920912341999,盼盼麦香鸡味块,105克,包,29.0,盼盼,福建省晋江福源食品有限公司,福建,1.0,22,2026-10-01,C
71,6920912342002,烧烤牛排味块 105g,105克,包,29.0,盼盼,福建省晋江福源食品有限公司,福建,1.0,24,2026-09-04,B
72,6920912342019,105g盼盼墨西哥鸡卷,105克,包,29.0,盼盼,福建省晋江福源食品有限公司,福建,1.0,43,2027-04-16,F
73,6920912353671,法式软面包香蕉味,200克,包,8.0,盼盼,福建省晋江福源食品有限公司,福建,1.0,43,2026-12-02,C
74,6911988006547,45克可比克烧烤味薯片,45g,桶,3.5,可比克,达利食品集团有限公司,福建,1.0,40,2026-11-28,F
75,6911988006783,250克枚注心蛋黄派,250克,袋,8.0,达利园,达利食品集团有限公司,福建,1.0,25,2027-08-13,D
76,6911988006790,蛋黄派注心派蛋黄风味500g,500克,包,29.0,达利园,达利食品集团有限公司,福建,1.0,48,2027-05-21,D
