id,name,spec,unit,price,brand,discount,inventory,expiration_data,product_location
1,500g万丽厕精,500g,瓶,4.5,万丽,1.0,28,2027-01-19,C
2,六神清凉爽肤沐浴露200ml,200ml,瓶,9.9,六神,1.0,42,2027-08-07,C
3,六神清凉爽肤沐浴露450ml,450ml,瓶,17.5,六神,0.9,29,2027-04-21,D
4,六神百合除菌香皂,125克,块,4.3,六神,1.0,31,2027-03-03,C
5,六神除菌香皂（金盏菊）125g,125g,块,4.2,六神,0.9,26,2027-07-10,B
6,六神冰凉超爽沐浴露200ml,200ml,瓶,10.5,六神,0.9,33,2027-08-05,H
7,六神 清凉舒爽 祛痱止痒 花露水195ml,195ml,瓶,15.0,六神,1.0,42,2027-04-07,E
8,六神 清凉舒爽 祛痱止痒 花露水95ml,95ml,瓶,10.0,六神,1.0,28,2027-08-06,H
9,南方黑芝麻糊,360克,袋,9.9,南方黑芝麻,1.0,23,2026-10-03,C
10,莲花味精,200克,包,3.6,莲花,0.8,38,2027-05-08,E
11,莲花味精,400克,包,7.2,莲花,1.0,50,2027-05-16,E
12,奧利奧迷你原味小餅乾,55G,桶,5.5,奧利奧,1.0,29,2027-04-11,C
13,奧利奧迷你巧克力餅乾,55G,桶,7.0,奧利奧,1.0,34,2027-01-22,A
14,亿滋卡夫/奥利奥夹心饼干/缤纷双果甜橙味+芒果味106g/盒食品零食 多种口味任选 儿童宝宝休闲零食 办公室小吃,106g,盒,23.0,奥利奥,1.0,27,2026-10-26,E
15,奥利奥缤纷双果味夹心饼干 树草莓+蓝莓味106g 盒装,106g/106g,包,6.5,奥利奥,1.0,20,2026-12-08,D
16,奥利奥130G夹心原味,130g,包,20.0,奥利奥,1.0,32,2027-04-06,E
17,黑金刚大蘑头小蘑菇松脆小饼干(普通饼干~香浓巧克力)33298_45克,45g,盒,3.6,黑金刚,1.0,38,2027-09-07,D
18,糖水杨梅罐头,700g,瓶,13.5,欢乐家,0.8,38,2026-10-19,F
19,糖水桃罐头（久宝桃）,700g,瓶,8.2,欢乐家,1.0,47,2027-04-18,C
20,番茄调味酱,850g/罐,桶,98.18,欢悦,0.9,44,2027-03-19,F
21,华萍 透明长方形居家户外旅行针线套装 便携缝纫工具202针线包,长方形,盒,11.3,华萍,1.0,49,2026-12-13,A
22,华萍针线盒,方形,个,3.0,华萍,1.0,33,2026-12-22,D
23,小当家脆脆面 香葱口味,35g,包,0.5,小当家,1.0,42,2026-09-26,F
24,加加老抽王酱油,500ml,瓶,5.6,加加,1.0,25,2027-02-13,B
25,加加香醋,800毫升,桶,7.8,加加,1.0,47,2027-07-25,C
26,加加黄豆酱油,800ml,毫升,7.9,加加,1.0,36,2026-09-28,A
27,100g加加鸡精,100g,包,4.5,加加,1.0,39,2027-01-16,G
28,加加鸡精鸡精调味料,200g,包,7.5,加加,1.0,20,2027-03-16,D
29,加加面条鲜生抽酱油,500ml,毫升,8.9,加加,0.9,34,2027-08-28,A
30,加加新一代特制酱油500ml,500ml,瓶,8.8,加加,1.0,37,2027-08-06,G
31,800加加陈醋,800ml,桶,7.8,加加,1.0,27,2026-12-23,C
32,加加糯米白醋,500ml,瓶,4.8,加加,1.0,46,2026-09-03,E
33,500ml珍鲜老抽,500ml,瓶,6.6,加加,0.9,21,2027-03-25,C
34,800ml红烧老抽王,800ml,壶,7.5,加加,1.0,33,2027-01-16,C
35,加加l红烧酱油,500ml,瓶,4.8,加加,1.0,30,2026-09-15,C
36,加加味精,200g,包,4.5,加加,1.0,21,2026-11-08,G
37,加加味精,400g,包,9.6,加加,1.0,46,2027-05-17,C
38,加加味精,100g,袋,2.9,加加,1.0,30,2027-05-19,D
39,好吉利迷你型手帕纸,210mm*210mm,包,4.3,好吉利,1.0,40,2027-05-06,B
40,草原阿妈火锅底料 200g 辣汤,200克,包,7.8,草原阿妈,1.0,50,2027-05-06,G
41,草原阿妈火锅底料微辣香汤200克,200克,包,9.0,草原阿妈,1.0,44,2027-01-31,H
42,草原阿妈清汤火锅底料200g,200g/200g,袋,7.8,草原阿妈,1.0,21,2027-09-14,B
43,草原阿妈枸杞香汤,180克,袋,10.4,草原阿妈,1.0,48,2026-10-30,E
44,草原阿妈枸杞清汤,180克,袋,7.9,草原阿妈,0.9,37,2027-02-07,G
45,拉芳营养柔顺洗发露（滋润修护）,200ml,瓶,10.9,拉芳,1.0,38,2027-09-04,C
46,拉芳营养柔顺洗发露（水润去屑）,400ml,瓶,29.8,拉芳,1.0,41,2026-10-20,G
47,拉芳营养柔顺洗发露（焗油垂顺）,400ml,瓶,25.0,拉芳,1.0,41,2026-10-19,E
48,拉芳营养柔顺洗发露（滋润修护）,400ml,瓶,22.8,拉芳,1.0,33,2026-10-10,C
49,活性营养护发素（焗油纯养）,500ml,瓶,8.5,拉芳,1.0,36,2027-06-26,A
50,140g拉芳啫喱水(动感亮泽),140ml,瓶,7.9,拉芳,1.0,30,2027-09-06,A
51,拉芳营养柔顺洗发露（焗油去屑）,400ml,瓶,28.2,拉芳,1.0,30,2027-03-29,C
52,百事可乐可乐型汽水,2.0L/瓶,瓶,6.5,Pepsi,1.0,27,2027-02-02,A
53,美年达橙味汽水,2.0L/瓶,瓶,7.7,美年达,1.0,36,2027-05-04,D
54,美年达青苹果味汽水 2.0L,2L,瓶,5.8,美年达果味型汽水,1.0,39,2026-12-05,G
55,“红99”牌重庆火锅浓缩底料400g,400g,袋,8.5,“红99”,1.0,29,2026-12-13,C
56,360g法式软面包香橙味,包,包,11.0,福建省达利集团有限公司,0.8,33,2027-09-14,D
57,舒爽丝薄棉柔日用20片*24,1*20*24,包,6.8,舒爽,1.0,31,2026-10-19,G
58,舒爽亲肤SC8220,1*20*24,包,7.0,舒爽,1.0,25,2027-05-25,A
59,好舒爽(恒利)加长卫生护垫(加长~非透气)1033_20片,1*20*48,包,3.5,好舒爽,1.0,39,2026-09-22,H
60,河套老窖42度珍品,500ML,瓶,0.0,内蒙古河套酒业集团股份有限公司,1.0,20,2026-12-13,A
61,400ml霸王黑芝麻黑亮洗发露（流通2014版）,400ml,瓶,29.8,霸王,1.0,34,2027-09-11,E
62,400ml霸王首乌乌发洗发露（流通2014版）,400ml,瓶,26.5,霸王,0.9,41,2027-03-27,G
63,500ml鲜味鲜生抽,500ml,瓶,7.8,加加,1.0,26,2026-12-29,G
64,番茄沙司,250gX20,瓶,3.0,唐三记,1.0,21,2027-02-13,C
65,孜然粉,35g,包,5.3,肖家香料,1.0,34,2027-01-28,E
66,肖家香料 包子饺子料35g,35克,包,3.0,肖家香料,0.9,25,2027-04-18,A
67,大盘鸡料,35克,袋,3.0,肖家香料,1.0,34,2027-04-01,D
68,肖家香料 大红花椒25g,25克,包,3.5,肖家香料,1.0,21,2027-05-30,C
69,大红八角,30克,包,3.0,肖家香料,1.0,22,2026-10-24,F
70,盼盼麦香鸡味块,105克,包,29.0,盼盼,1.0,22,2026-10-01,C
71,烧烤牛排味块 105g,105克,包,29.0,盼盼,1.0,24,2026-09-04,B
72,105g盼盼墨西哥鸡卷,105克,包,29.0,盼盼,1.0,43,2027-04-16,F
73,法式软面包香蕉味,200克,包,8.0,盼盼,1.0,43,2026-12-02,C
74,45克可比克烧烤味薯片,45g,桶,3.5,可比克,1.0,40,2026-11-28,F
75,250克枚注心蛋黄派,250克,袋,8.0,达利园,1.0,25,2027-08-13,D
76,蛋黄派注心派蛋黄风味500g,500克,包,29.0,达利园,1.0,48,2027-05-21,D
77,好吃点香脆杏仁饼108g,108克,包,4.0,好吃点,1.0,31,2027-09-12,D
78,108克好吃点香脆腰果饼,108g,包,3.3,达利园,1.0,32,2027-01-21,F
79,好吃点香脆核桃饼,108克,包,5.0,达利,1.0,50,2027-09-14,B
80,198g金麦圈椰蓉味,165*300*50,包,6.0,达利园,1.0,35,2027-05-31,E
81,达利园法式小面包香奶味400克,400克,包,22.0,达利园,1.0,32,2027-06-04,E
82,105克可比克薯片孜然串烧味,kg,桶,8.9,福建省达利食品集团有限公司,0.8,49,2026-12-14,G
83,45克可比克薯片韩式泡菜味,kg,桶,3.8,福建省达利食品集团有限公司,0.8,34,2027-05-27,H
84,160克枚达利园瑞士卷草莓味,160克,包,5.9,160克达利园瑞士卷草莓味,1.0,27,2027-08-28,C
85,240克达利园瑞士卷草莓味,240克,袋,19.0,240克达利园瑞士卷草莓味,1.0,27,2026-12-15,B
86,瑞士卷香蕉风味240g,240克,袋,29.0,达利园,1.0,45,2027-05-01,H
87,达利园香奶味软面包200克,200克,包,7.0,达利园,1.0,43,2027-06-08,B
88,十三香调味品,长方体包装,包,9.0,王守义十三香,1.0,42,2027-04-10,H
89,王守义炖肉料24克内装2小包,24克,包,3.0,王守义,1.0,47,2026-10-03,E
90,王守义花椒粉,20克/袋,包,3.8,王守义十三香,1.0,34,2027-05-21,G
91,24g十三香炖鸡料,24克（内含2小包）,袋,3.0,王守义,0.9,23,2027-09-27,F
92,王守义金装炖鱼料24g,*1/件,袋,3.0,王守义,1.0,47,2027-03-31,B
93,王守义包子饺子料调味料35克,35克,包,3.8,王守义,1.0,44,2026-12-30,D
94,王守义孜然调料粉,35克,包,3.0,王守义,1.0,24,2027-09-18,C
95,王守义白胡椒粉,25克/袋,包,4.2,王守义十三香,0.9,41,2027-09-19,B
96,老干妈辣三丁油辣椒,280g,瓶,11.0,老干妈,1.0,29,2026-09-16,C
97,风味鸡油辣椒,280克/瓶,瓶,12.5,陶华碧老干妈,1.0,44,2027-03-07,A
98,富光新动感太空杯3型 容量500ml,500ML,个,8.9,富光,1.0,31,2027-08-13,D
99,富光新动感太空杯3型,600ML,个,19.9,富光,1.0,45,2027-02-05,B
100,太太乐鸡精调味料100克,100克,包,5.0,太太乐,1.0,20,2027-06-24,H
101,太太乐200g三鲜鸡精调味料,200g,包,11.55,太太乐,1.0,39,2026-10-13,D
102,山西特产老陈醋 紫林陈醋 二年陈酿(820ML/壶),820ml/瓶,瓶,7.5,紫林,1.0,41,2027-03-29,G
103,紫林白米醋酿造食醋820ml 山西醋 紫林陈醋山西特产无添加剂厨房调料,820ml,毫升,6.0,紫林,1.0,27,2027-09-18,E
104,奥妙净蓝全效无磷洗衣粉,1.1千克,包,11.7,OMO奥妙,1.0,30,2026-09-09,B
105,迪彩 东方抗枯法则 防干枯 丝质柔亮 护发素 400g,400g/瓶,瓶,11.9,迪彩,1.0,47,2027-05-29,F
106,乐源果粒橙 复合果汁饮料（2.5L）,圆形瓶,桶,11.8,乐源,1.0,41,2026-12-31,H
107,乐源果粒橙复合果汁饮料,2.5L×6,件,6.5,乐源,1.0,47,2026-11-04,C
108,纯果乐鲜果粒甜橙味120ml,420ml/瓶,瓶,3.5,康师傅,1.0,45,2027-03-16,H
109,果缤纷柠爽萄醉味复合果汁饮料,(450+50)毫升,瓶,2.9,纯果乐,1.0,22,2027-07-30,H
110,果缤纷柠爽葡萄醉美味450ml,500mL(450mL+50mL) ×1,件,40.0,果缤纷,1.0,47,2027-08-08,D
111,果缤纷蜜桃樱桃味复合果汁饮料,(450+50)毫升,件,3.0,纯果乐,1.0,27,2026-12-20,D
112,蔬菜卷,20g,包,38.9,泰美,1.0,40,2027-09-08,H
113,皂缸,皂缸,个,5.0,泰禾,1.0,42,2027-09-07,B
114,李大厨酱肉味调味料,302g,包,5.9,李大厨,1.0,21,2027-03-26,F
115,OLAY美白清爽沐浴香皂125G,125G,块,6.6,玉兰油,1.0,36,2027-03-30,C
116,120g佳洁士双效炫白牙膏6,120G/支,支,9.5,佳洁士,1.0,26,2027-09-20,F
117,佳洁士珍珠盐白牙膏（柠檬清新）90克,90G,支,5.5,佳洁士,1.0,43,2027-06-22,B
118,汰渍净白去渍洗衣粉1.36千克,1360G,包,12.0,汰渍,1.0,28,2027-04-20,H
119,汰渍 洗衣粉 净白去渍(柠檬清新型)260克/袋 去油渍,260G/袋,包,2.5,汰渍,1.0,36,2027-09-06,C
120,碧浪专业去渍无磷洗衣粉(清雅茉莉)1.7kg,1700G,包,20.5,碧浪,1.0,28,2026-09-26,H
121,125g玉兰油香皂(美白滋润),125G/块,块,5.5,玉兰油,0.9,20,2026-11-22,H
122,舒肤佳纯白清香型沐浴露200毫升,200ML,瓶,13.0,舒肤佳,0.9,38,2027-06-22,H
123,乳液修复洗发露400ml,400ml,瓶,35.0,潘婷,0.9,36,2027-03-04,D
124,潘婷丝质顺滑洗发露400ml,400ml,瓶,35.0,潘婷,1.0,49,2026-12-07,F
125,舒肤佳纯白清香型香皂125g,125G/块,块,5.6,舒肤佳,1.0,34,2026-11-23,E
126,飘柔精华护理滋润去屑500ML,500ML,瓶,27.9,飘柔,1.0,28,2027-09-15,H
127,飘柔焗油护理洗发露,500ml/瓶,瓶,27.9,飘柔,1.0,20,2027-08-01,F
128,汰渍全效360°洁净无磷洗衣粉1.65kg,1.65kg/包,包,16.0,汰渍,0.9,47,2026-09-23,B
129,康师傅丰盛经典红烧牛肉开心桶面,单桶,桶,4.6,康师傅,1.0,47,2027-01-12,D
130,南街村武汉风味热干面（香辣味）面饼+配料262克,262克,盒,7.48,南街村,1.0,35,2026-11-17,A
131,湿面（麻酱凉面）,盒装248克,盒,4.6,南街村,1.0,32,2027-03-25,H
132,王守义十三香调味料,45g,盒,2.8,王守义,1.0,28,2027-06-13,B
133,旺旺维多粒果冻爽（粒粒橙味）,150g,包,2.2,旺旺,1.0,29,2027-05-07,E
134,旺旺维多粒果冻爽（粒粒桃味）,150g,包,2.2,旺旺,1.0,28,2027-05-24,A
135,旺旺维多粒菠萝味可吸果冻,150克/袋,袋,2.2,旺旺,1.0,35,2027-09-08,C
136,强生婴儿牛奶润肤皂125克,125克,块,7.0,强生婴儿,1.0,42,2027-03-22,F
137,强生婴儿热痱粉,100克,盒,12.0,强生,1.0,39,2027-01-19,F
138,好迪精华素焗油洗发水（柔亮焕彩）,400ml,瓶,22.0,好迪精华素,1.0,40,2027-06-27,B
139,好迪精华素营养洗发水（滋润养护）,400ml,瓶,25.99,好迪精华素,1.0,26,2026-09-14,B
140,好迪精华素保湿定型啫喱水（活力养护）,140ml,瓶,12.0,好迪,1.0,40,2027-05-03,C
141,好迪精华素保湿定型啫喱水（持久造型）,140ml,瓶,12.0,好迪,0.8,20,2027-09-28,D
